subject,body,label
Doctor Appointment Reminder for Thursday at 43:00 PM,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Doctor Appointment Reminder for Thursday at 57:00 PM,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
CONGRATULATIONS! You won $55555 USD cash prize,We could not process your bill of $55555. Please update your billing address and credit card info immediately: http://account-billing-update-42.com,1
Double your Bitcoin in 24 hours automatically,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 73358% discount. Visit http://discount-rx-66.com,1
Virus Alert: 31396 trojan infections detected on your PC,You have been selected in our international lottery draw! Send your full address and bank details to claim your $31396 prize at claims@lottorewards-20.net.,1
Team Lunch on Friday - RSVP needed,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Receipt for your Uber ride - $13,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Receipt for your Uber ride - $76,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Get FDA approved prescriptions online - 34222% discount,Invest $34222 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-37.org now.,1
Weekly Engineering Newsletter - Issue #56,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Library Book Due Reminder - 7,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Invoice #INV-2026-64 Attached for Payment,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Double your Bitcoin in 24 hours automatically,Invest $85599 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-68.org now.,1
IRS Tax Refund Alert: Claim your $8444 refund today,Bad credit score? No problem! Get instant approval for a personal loan of $8444 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-48.net,1
Quarterly Financial Performance Summary Q81,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Dinner plans for tonight at 30:00 PM?,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Weekly Fitness & Activity Summary,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Dinner plans for tonight at 64:00 PM?,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
